Timestamp,Role,Trimester,COLLABORATIVE TEAM,Does CT have priority standards/ supporting standards?,Are assessments aligned with priority standards?,"Does CT have a curriculum map that outlines units/chapters, assessments, and standards?",Are proficiency scales used to measure student progress?,Does CT use common summative assessments?,Is the ASSESSMENT gradebook category identical across the course?,Does CT use common formative assessments?,Does CT use assessment data to adjust assessments?,Does CT provide extension activities for students who have mastered the material?,Does CT utilize MTSS/RTI framework to identify and support students who need additional academic support?,Are retake requirements common throughout the CT and do they comply with the district retake policy?,"Does CT have a common syllabus? Does it include common policies on plagiarism, reassessment, and grading?",Does CT share instructional strategies and collaborate on teaching methods?,Does CT regularly discuss point values and the number of assignments in the CLASSWORK gradebook category?,Does CT analyze student data to improve instruction?,Does CT use NASOT (National Assessment of Student Outcomes & Teaching) elements effectively?,Is there equity of voice in your CT?,"Do you feel your CT is a safe place to be honest, genuine, and vulnerable?",Are there formalized roles in your CT?,"Does your CT regularly have a set agenda that focuses on curriculum, assessment, instruction, or student achievement? Does each item include a clear intended outcome or product?",Do team members come prepared to complete the work for each agenda item?,Is your CT productive during meeting time?,Curriculum Comments:,Assessment Comments:,Achievement Comments ,Instruction Comments ,Group Efficacy Comments 
2027-09-05 09:21:00,Teacher,3,American Studies,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,Standards alignment is strong this year. Our curriculum map reflects all unit changes. We have made real progress on embedding proficiency scales into instruction and feedback.,Our common summative assessments are well established. We have also developed shared formative check-ins this year which has strengthened our data conversations.,Our retake process is consistent and compliant. We now have a more coordinated MTSS approach and are developing more systematic extension activities for mastery students.,Instructional alignment is strong. We share strategies regularly and our classwork totals are well aligned. We use student data to make specific instructional adjustments.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-06 09:28:00,Teacher,3,American Studies,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Standards alignment is strong this year. Our curriculum map reflects all unit changes. We have made real progress on embedding proficiency scales into instruction and feedback.,Our common summative assessments are well established. We have also developed shared formative check-ins this year which has strengthened our data conversations.,Our retake process is consistent and compliant. We now have a more coordinated MTSS approach and are developing more systematic extension activities for mastery students.,Instructional alignment is strong. We share strategies regularly and our classwork totals are well aligned. We use student data to make specific instructional adjustments.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-09 10:00:00,Coach,3,American Studies,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Curriculum work is a clear strength. Standards are visible and the map is used actively. Proficiency scales are being embedded into instruction more consistently.,Strong assessment foundation. The team uses both common summatives and formatives now. Data analysis is driving real instructional changes — I can point to specific examples.,Solid retake practices continue. The team now has a shared protocol for MTSS referrals and meets it consistently. Extension is the remaining growth area.,Strong instructional culture. Strategies are shared consistently. Classwork totals are aligned and verified. NASOT elements appear regularly in both planning and observation.,Excellent group efficacy. Roles are formalized and consistently used. Meetings are agenda-driven and highly productive. The team continues to grow together.
2027-09-09 11:00:00,Admin,3,American Studies,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,Strong curriculum documentation. I can see the map being followed in classrooms. Proficiency scale language is showing up in student feedback which is a positive shift.,Good assessment alignment. Both summative and formative data are being used. I see evidence that teachers are adjusting instruction based on common assessment results.,Retake compliance is strong. I see more evidence of coordinated MTSS responses this year. Extension pathways for mastery students are beginning to emerge.,Good instructional consistency. Shared strategies are visible in classrooms. Data use to adjust instruction is more evident. NASOT alignment has improved.,Excellent group culture. Formalized roles and structured agendas have strengthened meeting productivity. This team demonstrates what high-functioning collaboration looks like.
2027-09-02 09:00:00,Teacher,3,AP Human Geography,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Standards alignment is strong this year. Our curriculum map reflects all unit changes. We have made real progress on embedding proficiency scales into instruction and feedback.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,Our retake process is consistent and compliant. We now have a more coordinated MTSS approach and are developing more systematic extension activities for mastery students.,Instructional collaboration is a strength. Shared strategies and data-driven adjustments are consistent. NASOT elements are being used more explicitly this year.,Team dynamics are excellent. Formalized roles are in place and working well. Meetings are highly productive and equity of voice is strong.
2027-09-03 09:07:00,Teacher,3,AP Human Geography,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Standards alignment is strong this year. Our curriculum map reflects all unit changes. We have made real progress on embedding proficiency scales into instruction and feedback.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,Our retake process is consistent and compliant. We now have a more coordinated MTSS approach and are developing more systematic extension activities for mastery students.,Instructional collaboration is a strength. Shared strategies and data-driven adjustments are consistent. NASOT elements are being used more explicitly this year.,Team dynamics are excellent. Formalized roles are in place and working well. Meetings are highly productive and equity of voice is strong.
2027-09-09 10:00:00,Coach,3,AP Human Geography,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Strong curriculum foundation this year. The team references their map in every CT. Proficiency scales are moving from planning documents to actual instructional tools.,Strong assessment foundation. The team uses both common summatives and formatives now. Data analysis is driving real instructional changes — I can point to specific examples.,Solid retake practices continue. The team now has a shared protocol for MTSS referrals and meets it consistently. Extension is the remaining growth area.,Instructional alignment is strong and getting stronger. NASOT elements are now being explicitly discussed and applied. Classwork alignment has been verified this trimester.,Excellent group efficacy. Roles are formalized and consistently used. Meetings are agenda-driven and highly productive. The team continues to grow together.
2027-09-09 11:00:00,Admin,3,AP Human Geography,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Strong curriculum documentation. I can see the map being followed in classrooms. Proficiency scale language is showing up in student feedback which is a positive shift.,Strong assessment work. Common summatives and formatives are in place. Data use to drive instruction is more evident this year across all sections.,Good improvement in student support practices. Retakes are consistent. MTSS coordination is more systematic than last year. Extension is developing.,Good instructional consistency. Shared strategies are visible in classrooms. Data use to adjust instruction is more evident. NASOT alignment has improved.,Strong team cohesion. Formalized roles are in place and working. Meetings are focused and productive. Equity of voice is strong across all team members.
2027-09-02 09:00:00,Teacher,3,Biology,3,3,3,3,2,3,3,3,2,3,2,2,3,2,2,2,3,3,2,3,3,2,Priority standards are well established. Curriculum map is solid and current. We have made progress on proficiency scales but still have some inconsistency across sections.,Our common summative assessments are well established. We have also developed shared formative check-ins this year which has strengthened our data conversations.,We have a shared retake process that is working well. MTSS coordination is improving — we flag students together and follow up as a team. Extension is an area of continued growth.,Instructional collaboration is a strength. Shared strategies and data-driven adjustments are consistent. NASOT elements are being used more explicitly this year.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-03 09:07:00,Teacher,3,Biology,2,2,3,3,3,2,3,3,2,3,3,3,2,3,3,2,2,3,3,3,3,2,Priority standards are well established. Curriculum map is solid and current. We have made progress on proficiency scales but still have some inconsistency across sections.,Our common summative assessments are well established. We have also developed shared formative check-ins this year which has strengthened our data conversations.,We have a shared retake process that is working well. MTSS coordination is improving — we flag students together and follow up as a team. Extension is an area of continued growth.,Instructional collaboration is a strength. Shared strategies and data-driven adjustments are consistent. NASOT elements are being used more explicitly this year.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-04 09:14:00,Teacher,3,Biology,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,2,Priority standards are well established. Curriculum map is solid and current. We have made progress on proficiency scales but still have some inconsistency across sections.,Our common summative assessments are well established. We have also developed shared formative check-ins this year which has strengthened our data conversations.,We have a shared retake process that is working well. MTSS coordination is improving — we flag students together and follow up as a team. Extension is an area of continued growth.,Instructional collaboration is a strength. Shared strategies and data-driven adjustments are consistent. NASOT elements are being used more explicitly this year.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-05 09:21:00,Teacher,3,Biology,2,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,2,3,Priority standards are well established. Curriculum map is solid and current. We have made progress on proficiency scales but still have some inconsistency across sections.,Our common summative assessments are well established. We have also developed shared formative check-ins this year which has strengthened our data conversations.,We have a shared retake process that is working well. MTSS coordination is improving — we flag students together and follow up as a team. Extension is an area of continued growth.,Instructional collaboration is a strength. Shared strategies and data-driven adjustments are consistent. NASOT elements are being used more explicitly this year.,We have formalized roles this year and it has made a real difference. Meetings are focused and productive. Psychological safety remains high.
2027-09-09 10:00:00,Coach,3,Biology,3,3,2,3,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,This team has strong curriculum documentation. Proficiency scales are now visible in most classrooms and being used in feedback — a significant improvement over last year.,Good assessment alignment. The team has built on last year's summative work and added common formatives. Data conversations are more purposeful and action-oriented.,Retakes are consistent. MTSS coordination has improved significantly — the team identifies and responds to struggling students together rather than individually.,Strong instructional culture. Strategies are shared consistently. Classwork totals are aligned and verified. NASOT elements appear regularly in both planning and observation.,Strong team dynamics. Formalized roles are in place and working well. Meetings are productive and focused. This team is a model for others in the building.
2027-09-09 11:00:00,Admin,3,Biology,3,2,3,3,3,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,Strong curriculum documentation. I can see the map being followed in classrooms. Proficiency scale language is showing up in student feedback which is a positive shift.,Good assessment alignment. Both summative and formative data are being used. I see evidence that teachers are adjusting instruction based on common assessment results.,Good improvement in student support practices. Retakes are consistent. MTSS coordination is more systematic than last year. Extension is developing.,Good instructional consistency. Shared strategies are visible in classrooms. Data use to adjust instruction is more evident. NASOT alignment has improved.,Strong team cohesion. Formalized roles are in place and working. Meetings are focused and productive. Equity of voice is strong across all team members.
2027-09-02 09:00:00,Teacher,3,Chemistry,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,Priority standards are well established. Curriculum map is solid and current. We have made progress on proficiency scales but still have some inconsistency across sections.,Common assessments are in place and we review data together regularly. Formative practices are more consistent than last year and we use data to make real instructional adjustments.,We have a shared retake process that is working well. MTSS coordination is improving — we flag students together and follow up as a team. Extension is an area of continued growth.,Common syllabus is in place and followed. Strategy sharing is a regular part of CT. We are more intentional about using data to change instruction than we were last year.,Our team culture is strong and continues to improve. We now have formalized roles and our meetings are more efficient and focused as a result.
2027-09-03 09:07:00,Teacher,3,Chemistry,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Priority standards are well established. Curriculum map is solid and current. We have made progress on proficiency scales but still have some inconsistency across sections.,Common assessments are in place and we review data together regularly. Formative practices are more consistent than last year and we use data to make real instructional adjustments.,We have a shared retake process that is working well. MTSS coordination is improving — we flag students together and follow up as a team. Extension is an area of continued growth.,Common syllabus is in place and followed. Strategy sharing is a regular part of CT. We are more intentional about using data to change instruction than we were last year.,Our team culture is strong and continues to improve. We now have formalized roles and our meetings are more efficient and focused as a result.
2027-09-04 09:14:00,Teacher,3,Chemistry,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,Priority standards are well established. Curriculum map is solid and current. We have made progress on proficiency scales but still have some inconsistency across sections.,Common assessments are in place and we review data together regularly. Formative practices are more consistent than last year and we use data to make real instructional adjustments.,We have a shared retake process that is working well. MTSS coordination is improving — we flag students together and follow up as a team. Extension is an area of continued growth.,Common syllabus is in place and followed. Strategy sharing is a regular part of CT. We are more intentional about using data to change instruction than we were last year.,Our team culture is strong and continues to improve. We now have formalized roles and our meetings are more efficient and focused as a result.
2027-09-09 10:00:00,Coach,3,Chemistry,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,This team has strong curriculum documentation. Proficiency scales are now visible in most classrooms and being used in feedback — a significant improvement over last year.,Strong assessment foundation. The team uses both common summatives and formatives now. Data analysis is driving real instructional changes — I can point to specific examples.,Retakes are consistent. MTSS coordination has improved significantly — the team identifies and responds to struggling students together rather than individually.,Instructional alignment is strong and getting stronger. NASOT elements are now being explicitly discussed and applied. Classwork alignment has been verified this trimester.,Excellent group efficacy. Roles are formalized and consistently used. Meetings are agenda-driven and highly productive. The team continues to grow together.
2027-09-09 11:00:00,Admin,3,Chemistry,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,Curriculum alignment is evident in observations. Proficiency scales are being used more explicitly compared to last year. Standards are clearly posted and referenced.,Strong assessment work. Common summatives and formatives are in place. Data use to drive instruction is more evident this year across all sections.,Retake practices are solid. The team is more coordinated on MTSS than before. Extension activities are present in more classrooms than last year.,Strong instructional alignment across sections. NASOT elements are more visible in classrooms than last year. Common syllabus and strategies are clearly being implemented.,Strong team cohesion. Formalized roles are in place and working. Meetings are focused and productive. Equity of voice is strong across all team members.
2027-09-02 09:00:00,Teacher,3,English 9,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Standards and curriculum map are strong. Proficiency scales are being used more intentionally this year and students are beginning to understand them.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,Retakes are solid and consistent. We are getting better at coordinating MTSS responses as a team. Extension for mastery students is more intentional this year.,Strong instructional culture. Strategies are shared at every CT. Classwork alignment is consistent. NASOT elements are now explicitly referenced in our planning.,Strong team cohesion. Formalized roles are in place and well used. Meetings are agenda-driven and productive. The team continues to function at a high level.
2027-09-03 09:07:00,Teacher,3,English 9,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,Standards and curriculum map are strong. Proficiency scales are being used more intentionally this year and students are beginning to understand them.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,Retakes are solid and consistent. We are getting better at coordinating MTSS responses as a team. Extension for mastery students is more intentional this year.,Strong instructional culture. Strategies are shared at every CT. Classwork alignment is consistent. NASOT elements are now explicitly referenced in our planning.,Strong team cohesion. Formalized roles are in place and well used. Meetings are agenda-driven and productive. The team continues to function at a high level.
2027-09-04 09:14:00,Teacher,3,English 9,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,Standards and curriculum map are strong. Proficiency scales are being used more intentionally this year and students are beginning to understand them.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,Retakes are solid and consistent. We are getting better at coordinating MTSS responses as a team. Extension for mastery students is more intentional this year.,Strong instructional culture. Strategies are shared at every CT. Classwork alignment is consistent. NASOT elements are now explicitly referenced in our planning.,Strong team cohesion. Formalized roles are in place and well used. Meetings are agenda-driven and productive. The team continues to function at a high level.
2027-09-05 09:21:00,Teacher,3,English 9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Standards and curriculum map are strong. Proficiency scales are being used more intentionally this year and students are beginning to understand them.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,Retakes are solid and consistent. We are getting better at coordinating MTSS responses as a team. Extension for mastery students is more intentional this year.,Strong instructional culture. Strategies are shared at every CT. Classwork alignment is consistent. NASOT elements are now explicitly referenced in our planning.,Strong team cohesion. Formalized roles are in place and well used. Meetings are agenda-driven and productive. The team continues to function at a high level.
2027-09-06 09:28:00,Teacher,3,English 9,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Standards and curriculum map are strong. Proficiency scales are being used more intentionally this year and students are beginning to understand them.,We have strong summative alignment and have made progress on formatives. Our data conversations are more structured and we are making evidence-based adjustments to assessments.,Retakes are solid and consistent. We are getting better at coordinating MTSS responses as a team. Extension for mastery students is more intentional this year.,Strong instructional culture. Strategies are shared at every CT. Classwork alignment is consistent. NASOT elements are now explicitly referenced in our planning.,Strong team cohesion. Formalized roles are in place and well used. Meetings are agenda-driven and productive. The team continues to function at a high level.
2027-09-09 10:00:00,Coach,3,English 9,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,This team has strong curriculum documentation. Proficiency scales are now visible in most classrooms and being used in feedback — a significant improvement over last year.,Good assessment alignment. The team has built on last year's summative work and added common formatives. Data conversations are more purposeful and action-oriented.,The team has made real progress on MTSS coordination. Retakes remain strong. Extension is still developing but the team has named it as a priority and is making progress.,Strong instructional culture. Strategies are shared consistently. Classwork totals are aligned and verified. NASOT elements appear regularly in both planning and observation.,Excellent group efficacy. Roles are formalized and consistently used. Meetings are agenda-driven and highly productive. The team continues to grow together.
2027-09-09 11:00:00,Admin,3,English 9,3,3,3,2,2,2,3,3,2,2,2,3,3,3,3,3,3,2,3,3,3,2,Strong curriculum documentation. I can see the map being followed in classrooms. Proficiency scale language is showing up in student feedback which is a positive shift.,Good assessment alignment. Both summative and formative data are being used. I see evidence that teachers are adjusting instruction based on common assessment results.,Good improvement in student support practices. Retakes are consistent. MTSS coordination is more systematic than last year. Extension is developing.,Strong instructional alignment across sections. NASOT elements are more visible in classrooms than last year. Common syllabus and strategies are clearly being implemented.,Excellent group culture. Formalized roles and structured agendas have strengthened meeting productivity. This team demonstrates what high-functioning collaboration looks like.
2027-09-02 09:00:00,Teacher,3,English 10,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Standards alignment is strong this year. Our curriculum map reflects all unit changes. We have made real progress on embedding proficiency scales into instruction and feedback.,Our common summative assessments are well established. We have also developed shared formative check-ins this year which has strengthened our data conversations.,Retakes are solid and consistent. We are getting better at coordinating MTSS responses as a team. Extension for mastery students is more intentional this year.,Good instructional alignment. Common syllabus is used. We share strategies and data regularly. Classwork point values are well aligned across the team.,Our team culture is strong and continues to improve. We now have formalized roles and our meetings are more efficient and focused as a result.
