Timestamp,Role,Trimester,COLLABORATIVE TEAM,Does CT have priority standards/ supporting standards?,Are assessments aligned with priority standards?,"Does CT have a curriculum map that outlines units/chapters, assessments, and standards?",Are proficiency scales used to measure student progress?,Does CT use common summative assessments?,Is the ASSESSMENT gradebook category identical across the course?,Does CT use common formative assessments?,Does CT use assessment data to adjust assessments?,Does CT provide extension activities for students who have mastered the material?,Does CT utilize MTSS/RTI framework to identify and support students who need additional academic support?,Are retake requirements common throughout the CT and do they comply with the district retake policy?,"Does CT have a common syllabus? Does it include common policies on plagiarism, reassessment, and grading?",Does CT share instructional strategies and collaborate on teaching methods?,Does CT regularly discuss point values and the number of assignments in the CLASSWORK gradebook category?,Does CT analyze student data to improve instruction?,Does CT use NASOT (National Assessment of Student Outcomes & Teaching) elements effectively?,Is there equity of voice in your CT?,"Do you feel your CT is a safe place to be honest, genuine, and vulnerable?",Are there formalized roles in your CT?,"Does your CT regularly have a set agenda that focuses on curriculum, assessment, instruction, or student achievement? Does each item include a clear intended outcome or product?",Do team members come prepared to complete the work for each agenda item?,Is your CT productive during meeting time?,Curriculum Comments:,Assessment Comments:,Achievement Comments ,Instruction Comments ,Group Efficacy Comments 
2026-09-09 11:00:00,Admin,3,Algebra 2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,Standards and curriculum documentation are solid based on my observations. I would like to see proficiency scales used more explicitly in assessment design and student feedback.,Consistent assessment practices across sections. Gradebook categories are aligned. Data use is present but reactive — I want to see more proactive use before the summative.,Retake practices are solid. The team discusses student achievement but could formalize their approach to both intervention and extension to make it more consistent.,Instructional practices are aligned across sections based on my walkthroughs. Common syllabus is evident. I would like to see more explicit use of NASOT elements documented in CT agendas.,Team meetings appear focused and productive based on my observations. Equity of voice looks strong. I would like to see more formalized role structures to ensure consistency over time.
2026-09-02 09:00:00,Teacher,3,American Studies,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Our team aligned on priority standards early in the year. The map reflects current pacing. Proficiency scale use varies — this is a recognized area for growth.,We have strong summative alignment. Gradebook categories are consistent. Formative data use is something we are actively building — check-ins exist but follow-through varies.,Our retake process is solid and district-compliant. We share student concern lists during CT. Extension for mastery students is underdeveloped and we acknowledge it.,Common syllabus is in place. Strategy sharing happens organically during CT. Classwork alignment is approximate. We look at data together but could be more systematic about how it changes instruction.,We function well together. Equity of voice is present. Agendas guide our meetings. Members come prepared. Formal roles are informally filled but not officially assigned.
2026-09-03 09:07:00,Teacher,3,American Studies,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,Our team aligned on priority standards early in the year. The map reflects current pacing. Proficiency scale use varies — this is a recognized area for growth.,We have strong summative alignment. Gradebook categories are consistent. Formative data use is something we are actively building — check-ins exist but follow-through varies.,Our retake process is solid and district-compliant. We share student concern lists during CT. Extension for mastery students is underdeveloped and we acknowledge it.,Common syllabus is in place. Strategy sharing happens organically during CT. Classwork alignment is approximate. We look at data together but could be more systematic about how it changes instruction.,We function well together. Equity of voice is present. Agendas guide our meetings. Members come prepared. Formal roles are informally filled but not officially assigned.
2026-09-04 09:14:00,Teacher,3,American Studies,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,Our team aligned on priority standards early in the year. The map reflects current pacing. Proficiency scale use varies — this is a recognized area for growth.,We have strong summative alignment. Gradebook categories are consistent. Formative data use is something we are actively building — check-ins exist but follow-through varies.,Our retake process is solid and district-compliant. We share student concern lists during CT. Extension for mastery students is underdeveloped and we acknowledge it.,Common syllabus is in place. Strategy sharing happens organically during CT. Classwork alignment is approximate. We look at data together but could be more systematic about how it changes instruction.,We function well together. Equity of voice is present. Agendas guide our meetings. Members come prepared. Formal roles are informally filled but not officially assigned.
2026-09-05 09:21:00,Teacher,3,American Studies,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Our team aligned on priority standards early in the year. The map reflects current pacing. Proficiency scale use varies — this is a recognized area for growth.,We have strong summative alignment. Gradebook categories are consistent. Formative data use is something we are actively building — check-ins exist but follow-through varies.,Our retake process is solid and district-compliant. We share student concern lists during CT. Extension for mastery students is underdeveloped and we acknowledge it.,Common syllabus is in place. Strategy sharing happens organically during CT. Classwork alignment is approximate. We look at data together but could be more systematic about how it changes instruction.,We function well together. Equity of voice is present. Agendas guide our meetings. Members come prepared. Formal roles are informally filled but not officially assigned.
2026-09-06 09:28:00,Teacher,3,American Studies,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Our team aligned on priority standards early in the year. The map reflects current pacing. Proficiency scale use varies — this is a recognized area for growth.,We have strong summative alignment. Gradebook categories are consistent. Formative data use is something we are actively building — check-ins exist but follow-through varies.,Our retake process is solid and district-compliant. We share student concern lists during CT. Extension for mastery students is underdeveloped and we acknowledge it.,Common syllabus is in place. Strategy sharing happens organically during CT. Classwork alignment is approximate. We look at data together but could be more systematic about how it changes instruction.,We function well together. Equity of voice is present. Agendas guide our meetings. Members come prepared. Formal roles are informally filled but not officially assigned.
2026-09-09 10:00:00,Coach,3,American Studies,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,Strong curriculum foundation. The map is current and teachers reference it in CT. My goal this trimester is supporting the team in making proficiency scales visible to students.,Assessment practices are solid. The team uses data to adjust assessments and I have seen evidence of this in revised versions. Common formatives are emerging but not yet consistent.,Retakes are consistent. MTSS referrals happen but vary by teacher. I am supporting the team in building a shared protocol for identifying and responding to students in need.,The team collaborates well on instruction. Common syllabus is used. Strategy sharing happens during and between CT meetings. Data drives some instructional decisions.,This team has high psychological safety and good equity of voice. Meetings are productive. I am encouraging them to formalize roles to sustain their practices as membership changes over time.
2026-09-09 11:00:00,Admin,3,American Studies,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,2,Good curriculum alignment across sections. Standards are clear. Proficiency scale use varies — some teachers embed them well while others treat them as compliance documents.,Consistent assessment practices across sections. Gradebook categories are aligned. Data use is present but reactive — I want to see more proactive use before the summative.,Good retake compliance. MTSS referrals are happening. Extension activities are present in some classrooms but not systematically developed as a team practice.,Solid instructional alignment. Common syllabus is in place. Strategy sharing is evident. NASOT elements are present but could be more explicitly connected to the CT's collaborative work.,Good team cohesion. Members are prepared and engaged. Formal roles would help with consistency as team membership evolves across school years.
2026-09-02 09:00:00,Teacher,3,AP Human Geography,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Our team aligned on priority standards early in the year. The map reflects current pacing. Proficiency scale use varies — this is a recognized area for growth.,Common summatives are in place. We use some data to make adjustments but our formative practices vary. Building common formatives is our next identified step.,Our retake process is solid and district-compliant. We share student concern lists during CT. Extension for mastery students is underdeveloped and we acknowledge it.,Strong instructional alignment. We share strategies at every CT meeting. Classwork totals need a closer look — there is some drift. NASOT comes up informally but not explicitly.,Good team dynamics. Agendas are used and meetings stay on track. Equity of voice is strong. Formalizing roles is something we have discussed but not implemented.
2026-09-03 09:07:00,Teacher,3,AP Human Geography,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,Our team aligned on priority standards early in the year. The map reflects current pacing. Proficiency scale use varies — this is a recognized area for growth.,Common summatives are in place. We use some data to make adjustments but our formative practices vary. Building common formatives is our next identified step.,Our retake process is solid and district-compliant. We share student concern lists during CT. Extension for mastery students is underdeveloped and we acknowledge it.,Strong instructional alignment. We share strategies at every CT meeting. Classwork totals need a closer look — there is some drift. NASOT comes up informally but not explicitly.,Good team dynamics. Agendas are used and meetings stay on track. Equity of voice is strong. Formalizing roles is something we have discussed but not implemented.
2026-09-09 10:00:00,Coach,3,AP Human Geography,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,This team has clear priority standards and a functional curriculum map. Proficiency scales are created but I observe inconsistent use during classroom walkthroughs.,Common summative assessments are a clear strength. I facilitated a data analysis protocol this trimester and the team engaged well. Formative alignment is the identified growth area.,Solid retake practices. I have been working with the team to build a more coordinated MTSS approach and we are making progress. Extension remains underdeveloped.,Strong instructional culture. Strategies are shared consistently. Classwork totals are close — I have asked the team to do a full comparison this trimester. NASOT elements appear in lesson observations.,This team has high psychological safety and good equity of voice. Meetings are productive. I am encouraging them to formalize roles to sustain their practices as membership changes over time.
2026-09-09 11:00:00,Admin,3,AP Human Geography,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Good curriculum alignment across sections. Standards are clear. Proficiency scale use varies — some teachers embed them well while others treat them as compliance documents.,Consistent assessment practices across sections. Gradebook categories are aligned. Data use is present but reactive — I want to see more proactive use before the summative.,Retake requirements are consistent with district policy. I would like to see more team-level coordination on MTSS referrals and a clearer extension pathway for mastery students.,Instructional practices are aligned across sections based on my walkthroughs. Common syllabus is evident. I would like to see more explicit use of NASOT elements documented in CT agendas.,Team meetings appear focused and productive based on my observations. Equity of voice looks strong. I would like to see more formalized role structures to ensure consistency over time.
2026-09-02 09:00:00,Teacher,3,Biology,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,2,2,3,Priority standards are in place and referenced regularly. Curriculum map is solid. Some members use proficiency scales more than others — we've discussed making this more consistent.,We have strong summative alignment. Gradebook categories are consistent. Formative data use is something we are actively building — check-ins exist but follow-through varies.,Retakes are handled consistently. We surface struggling students in CT meetings. MTSS referrals happen but are not always coordinated. Extension activities are something we want to develop as a team.,Common syllabus is in place. Strategy sharing happens organically during CT. Classwork alignment is approximate. We look at data together but could be more systematic about how it changes instruction.,Our team has strong trust and equity of voice. Meetings are focused and productive when we have a clear agenda. Formalized roles would help us run more efficiently.
2026-09-03 09:07:00,Teacher,3,Biology,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Priority standards are in place and referenced regularly. Curriculum map is solid. Some members use proficiency scales more than others — we've discussed making this more consistent.,We have strong summative alignment. Gradebook categories are consistent. Formative data use is something we are actively building — check-ins exist but follow-through varies.,Retakes are handled consistently. We surface struggling students in CT meetings. MTSS referrals happen but are not always coordinated. Extension activities are something we want to develop as a team.,Common syllabus is in place. Strategy sharing happens organically during CT. Classwork alignment is approximate. We look at data together but could be more systematic about how it changes instruction.,Our team has strong trust and equity of voice. Meetings are focused and productive when we have a clear agenda. Formalized roles would help us run more efficiently.
2026-09-04 09:14:00,Teacher,3,Biology,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,Priority standards are in place and referenced regularly. Curriculum map is solid. Some members use proficiency scales more than others — we've discussed making this more consistent.,We have strong summative alignment. Gradebook categories are consistent. Formative data use is something we are actively building — check-ins exist but follow-through varies.,Retakes are handled consistently. We surface struggling students in CT meetings. MTSS referrals happen but are not always coordinated. Extension activities are something we want to develop as a team.,Common syllabus is in place. Strategy sharing happens organically during CT. Classwork alignment is approximate. We look at data together but could be more systematic about how it changes instruction.,Our team has strong trust and equity of voice. Meetings are focused and productive when we have a clear agenda. Formalized roles would help us run more efficiently.
2026-09-05 09:21:00,Teacher,3,Biology,3,3,2,3,3,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,2,3,Priority standards are in place and referenced regularly. Curriculum map is solid. Some members use proficiency scales more than others — we've discussed making this more consistent.,We have strong summative alignment. Gradebook categories are consistent. Formative data use is something we are actively building — check-ins exist but follow-through varies.,Retakes are handled consistently. We surface struggling students in CT meetings. MTSS referrals happen but are not always coordinated. Extension activities are something we want to develop as a team.,Common syllabus is in place. Strategy sharing happens organically during CT. Classwork alignment is approximate. We look at data together but could be more systematic about how it changes instruction.,Our team has strong trust and equity of voice. Meetings are focused and productive when we have a clear agenda. Formalized roles would help us run more efficiently.
2026-09-09 10:00:00,Coach,3,Biology,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,This team has clear priority standards and a functional curriculum map. Proficiency scales are created but I observe inconsistent use during classroom walkthroughs.,Good assessment foundation. Gradebook categories match. The team reviews summative data together. I am pushing them toward more structured formative data conversations.,Retake compliance is strong. The team surfaces struggling students in CT meetings but the response is still individual rather than collective. Extension is an identified gap I am working on with them.,Strong instructional culture. Strategies are shared consistently. Classwork totals are close — I have asked the team to do a full comparison this trimester. NASOT elements appear in lesson observations.,Strong team culture. All voices are heard and meetings are agenda-driven. Formal roles would increase efficiency and resilience. The team is open to this conversation.
2026-09-09 11:00:00,Admin,3,Biology,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,2,2,3,Good curriculum alignment across sections. Standards are clear. Proficiency scale use varies — some teachers embed them well while others treat them as compliance documents.,Strong summative alignment. Data conversations happen in CT. The next growth edge is using formative data systematically to adjust instruction rather than waiting for end-of-unit results.,Retake practices are solid. The team discusses student achievement but could formalize their approach to both intervention and extension to make it more consistent.,Good instructional consistency. Shared strategies are visible in classrooms. Classwork alignment looks reasonable. Data use to adjust instruction is still developing.,Team meetings appear focused and productive based on my observations. Equity of voice looks strong. I would like to see more formalized role structures to ensure consistency over time.
2026-09-02 09:00:00,Teacher,3,Chemistry,3,3,2,2,3,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,Standards alignment is strong. We have a shared map and most teachers reference it weekly. Proficiency scales need more consistent application across the team.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,Our retake process is solid and district-compliant. We share student concern lists during CT. Extension for mastery students is underdeveloped and we acknowledge it.,We have a common syllabus and share instructional strategies regularly. Classwork totals are close but not always verified. We use student data to inform pacing and content decisions.,Good team dynamics. Agendas are used and meetings stay on track. Equity of voice is strong. Formalizing roles is something we have discussed but not implemented.
2026-09-03 09:07:00,Teacher,3,Chemistry,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,Standards alignment is strong. We have a shared map and most teachers reference it weekly. Proficiency scales need more consistent application across the team.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,Our retake process is solid and district-compliant. We share student concern lists during CT. Extension for mastery students is underdeveloped and we acknowledge it.,We have a common syllabus and share instructional strategies regularly. Classwork totals are close but not always verified. We use student data to inform pacing and content decisions.,Good team dynamics. Agendas are used and meetings stay on track. Equity of voice is strong. Formalizing roles is something we have discussed but not implemented.
2026-09-04 09:14:00,Teacher,3,Chemistry,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,2,2,Standards alignment is strong. We have a shared map and most teachers reference it weekly. Proficiency scales need more consistent application across the team.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,Our retake process is solid and district-compliant. We share student concern lists during CT. Extension for mastery students is underdeveloped and we acknowledge it.,We have a common syllabus and share instructional strategies regularly. Classwork totals are close but not always verified. We use student data to inform pacing and content decisions.,Good team dynamics. Agendas are used and meetings stay on track. Equity of voice is strong. Formalizing roles is something we have discussed but not implemented.
2026-09-09 10:00:00,Coach,3,Chemistry,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,Strong curriculum foundation. The map is current and teachers reference it in CT. My goal this trimester is supporting the team in making proficiency scales visible to students.,Good assessment foundation. Gradebook categories match. The team reviews summative data together. I am pushing them toward more structured formative data conversations.,Retake compliance is strong. The team surfaces struggling students in CT meetings but the response is still individual rather than collective. Extension is an identified gap I am working on with them.,The team collaborates well on instruction. Common syllabus is used. Strategy sharing happens during and between CT meetings. Data drives some instructional decisions.,This team has high psychological safety and good equity of voice. Meetings are productive. I am encouraging them to formalize roles to sustain their practices as membership changes over time.
2026-09-09 11:00:00,Admin,3,Chemistry,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,3,2,2,Priority standards are evident in lesson plans and classroom displays. Curriculum map appears current. Proficiency scales are posted but not consistently referenced during instruction.,Assessment alignment looks consistent based on my observations. Common summatives are in use. I would like to see more evidence that formative data is driving instructional decisions between summatives.,Good retake compliance. MTSS referrals are happening. Extension activities are present in some classrooms but not systematically developed as a team practice.,Instructional practices are aligned across sections based on my walkthroughs. Common syllabus is evident. I would like to see more explicit use of NASOT elements documented in CT agendas.,Team meetings appear focused and productive based on my observations. Equity of voice looks strong. I would like to see more formalized role structures to ensure consistency over time.
2026-09-02 09:00:00,Teacher,3,English 9,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,2,Standards alignment is strong. We have a shared map and most teachers reference it weekly. Proficiency scales need more consistent application across the team.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,We have a shared retake policy that mirrors district guidelines. Extension is informal. We discuss struggling students occasionally but do not have a systematic team approach to intervention.,Strong instructional alignment. We share strategies at every CT meeting. Classwork totals need a closer look — there is some drift. NASOT comes up informally but not explicitly.,Strong team cohesion. Meetings are focused and productive. We could benefit from more formalized roles. Psychological safety is high and people speak honestly.
2026-09-03 09:07:00,Teacher,3,English 9,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,2,3,Standards alignment is strong. We have a shared map and most teachers reference it weekly. Proficiency scales need more consistent application across the team.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,We have a shared retake policy that mirrors district guidelines. Extension is informal. We discuss struggling students occasionally but do not have a systematic team approach to intervention.,Strong instructional alignment. We share strategies at every CT meeting. Classwork totals need a closer look — there is some drift. NASOT comes up informally but not explicitly.,Strong team cohesion. Meetings are focused and productive. We could benefit from more formalized roles. Psychological safety is high and people speak honestly.
2026-09-04 09:14:00,Teacher,3,English 9,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,Standards alignment is strong. We have a shared map and most teachers reference it weekly. Proficiency scales need more consistent application across the team.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,We have a shared retake policy that mirrors district guidelines. Extension is informal. We discuss struggling students occasionally but do not have a systematic team approach to intervention.,Strong instructional alignment. We share strategies at every CT meeting. Classwork totals need a closer look — there is some drift. NASOT comes up informally but not explicitly.,Strong team cohesion. Meetings are focused and productive. We could benefit from more formalized roles. Psychological safety is high and people speak honestly.
2026-09-05 09:21:00,Teacher,3,English 9,3,3,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,Standards alignment is strong. We have a shared map and most teachers reference it weekly. Proficiency scales need more consistent application across the team.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,We have a shared retake policy that mirrors district guidelines. Extension is informal. We discuss struggling students occasionally but do not have a systematic team approach to intervention.,Strong instructional alignment. We share strategies at every CT meeting. Classwork totals need a closer look — there is some drift. NASOT comes up informally but not explicitly.,Strong team cohesion. Meetings are focused and productive. We could benefit from more formalized roles. Psychological safety is high and people speak honestly.
2026-09-06 09:28:00,Teacher,3,English 9,3,3,3,3,2,3,2,3,2,3,3,2,3,3,3,3,2,3,2,3,3,3,Standards alignment is strong. We have a shared map and most teachers reference it weekly. Proficiency scales need more consistent application across the team.,Summative assessments are shared and consistent. We look at results together and have revised assessments based on data. Common formatives remain a work in progress.,We have a shared retake policy that mirrors district guidelines. Extension is informal. We discuss struggling students occasionally but do not have a systematic team approach to intervention.,Strong instructional alignment. We share strategies at every CT meeting. Classwork totals need a closer look — there is some drift. NASOT comes up informally but not explicitly.,Strong team cohesion. Meetings are focused and productive. We could benefit from more formalized roles. Psychological safety is high and people speak honestly.
